,,s,s,s
     700,2025-07-14T15:34:20.836+09:00, 0.963E-02,   6.60011, 0.11800E+03
     800,2025-07-14T15:34:25.115+09:00, 0.799E-02,   7.44010, 0.13508E+03
     900,2025-07-14T15:34:29.298+09:00, 0.733E-02,   8.24756, 0.15169E+03
    1000,2025-07-14T15:34:33.517+09:00, 0.806E-02,   9.03807, 0.16842E+03
    1100,2025-07-14T15:34:37.642+09:00, 0.675E-02,   9.90129, 0.18486E+03
    1200,2025-07-14T15:34:41.836+09:00, 0.836E-02,  10.74668, 0.20145E+03
    1300,2025-07-14T15:34:46.052+09:00, 0.868E-02,  11.62672, 0.21811E+03
    1400,2025-07-14T15:34:50.300+09:00, 0.779E-02,  12.48342, 0.23481E+03
    1500,2025-07-14T15:34:54.503+09:00, 0.797E-02,  13.32905, 0.25156E+03
    1600,2025-07-14T15:34:58.757+09:00, 0.859E-02,  14.29083, 0.26847E+03
    1700,2025-07-14T15:35:02.988+09:00, 0.905E-02,  15.19929, 0.28530E+03
    1800,2025-07-14T15:35:07.329+09:00, 0.882E-02,  16.13900, 0.30259E+03
    1900,2025-07-14T15:35:11.622+09:00, 0.922E-02,  17.03026, 0.31969E+03
    2000,2025-07-14T15:35:15.914+09:00, 0.960E-02,  18.00277, 0.33680E+03
    2100,2025-07-14T15:35:20.117+09:00, 0.106E-01,  18.98641, 0.35347E+03
    2200,2025-07-14T15:35:24.345+09:00, 0.108E-01,  19.96903, 0.37022E+03
    2300,2025-07-14T15:35:28.633+09:00, 0.997E-02,  20.97198, 0.38730E+03
    2400,2025-07-14T15:35:32.849+09:00, 0.998E-02,  21.88521, 0.40408E+03
    2500,2025-07-14T15:35:37.031+09:00, 0.104E-01,  22.85660, 0.42073E+03
    2600,2025-07-14T15:35:41.196+09:00, 0.975E-02,  23.77972, 0.43717E+03
    2700,2025-07-14T15:35:45.406+09:00, 0.105E-01,  24.77341, 0.45372E+03
    2800,2025-07-14T15:35:49.678+09:00, 0.981E-02,  25.75282, 0.47045E+03
    2900,2025-07-14T15:35:53.841+09:00, 0.114E-01,  26.76647, 0.48689E+03
    3000,2025-07-14T15:35:58.016+09:00, 0.121E-01,  27.84875, 0.50339E+03
    3100,2025-07-14T15:36:02.225+09:00, 0.113E-01,  28.88094, 0.52006E+03
    3200,2025-07-14T15:36:06.420+09:00, 0.996E-02,  29.87957, 0.53669E+03
    3300,2025-07-14T15:36:10.625+09:00, 0.998E-02,  30.85554, 0.55342E+03
    3400,2025-07-14T15:36:14.730+09:00, 0.101E-01,  31.84137, 0.56961E+03
    3500,2025-07-14T15:36:18.935+09:00, 0.990E-02,  32.90058, 0.58634E+03
    3600,2025-07-14T15:36:23.114+09:00, 0.951E-02,  33.91273, 0.60292E+03
    3700,2025-07-14T15:36:27.268+09:00, 0.110E-01,  34.91423, 0.61931E+03
    3800,2025-07-14T15:36:31.434+09:00, 0.103E-01,  35.93403, 0.63586E+03
    3900,2025-07-14T15:36:35.660+09:00, 0.942E-02,  36.95917, 0.65269E+03
    4000,2025-07-14T15:36:39.837+09:00, 0.108E-01,  37.98166, 0.66922E+03
    4100,2025-07-14T15:36:44.010+09:00, 0.105E-01,  38.99695, 0.68573E+03
    4200,2025-07-14T15:36:48.227+09:00, 0.110E-01,  40.08662, 0.70241E+03
    4300,2025-07-14T15:36:52.497+09:00, 0.124E-01,  41.15089, 0.71933E+03
    4400,2025-07-14T15:36:56.634+09:00, 0.112E-01,  42.26308, 0.73569E+03
    4500,2025-07-14T15:37:00.830+09:00, 0.108E-01,  43.37948, 0.75230E+03
    4600,2025-07-14T15:37:05.058+09:00, 0.104E-01,  44.46731, 0.76909E+03
    4700,2025-07-14T15:37:09.210+09:00, 0.130E-01,  45.51057, 0.78564E+03
    4800,2025-07-14T15:37:13.591+09:00, 0.115E-01,  46.66308, 0.80303E+03
    4900,2025-07-14T15:37:17.828+09:00, 0.109E-01,  47.71165, 0.81991E+03
    5000,2025-07-14T15:37:22.029+09:00, 0.100E-01,  48.78390, 0.83642E+03
    5100,2025-07-14T15:37:26.150+09:00, 0.112E-01,  49.89392, 0.85275E+03
    5200,2025-07-14T15:37:30.177+09:00, 0.871E-02,  50.92223, 0.86883E+03
    5300,2025-07-14T15:37:34.267+09:00, 0.128E-01,  52.06923, 0.88503E+03
    5400,2025-07-14T15:37:38.453+09:00, 0.128E-01,  53.12392, 0.90155E+03
    5500,2025-07-14T15:37:42.550+09:00, 0.104E-01,  54.21066, 0.91789E+03
    5600,2025-07-14T15:37:46.686+09:00, 0.118E-01,  55.29409, 0.93441E+03
    5700,2025-07-14T15:37:50.836+09:00, 0.144E-01,  56.46914, 0.95089E+03
    5800,2025-07-14T15:37:55.127+09:00, 0.114E-01,  57.60835, 0.96797E+03
    5900,2025-07-14T15:37:59.298+09:00, 0.107E-01,  58.69811, 0.98458E+03
    6000,2025-07-14T15:38:03.494+09:00, 0.113E-01,  59.77443, 0.10012E+04
    6100,2025-07-14T15:38:07.638+09:00, 0.118E-01,  60.80627, 0.10176E+04
    6200,2025-07-14T15:38:11.880+09:00, 0.134E-01,  61.92352, 0.10344E+04
    6300,2025-07-14T15:38:16.071+09:00, 0.112E-01,  63.03823, 0.10511E+04
    6400,2025-07-14T15:38:20.170+09:00, 0.125E-01,  64.18706, 0.10673E+04
    6500,2025-07-14T15:38:24.389+09:00, 0.115E-01,  65.21987, 0.10842E+04
    6600,2025-07-14T15:38:28.628+09:00, 0.101E-01,  66.28894, 0.11010E+04
    6700,2025-07-14T15:38:32.897+09:00, 0.118E-01,  67.42194, 0.11179E+04
    6800,2025-07-14T15:38:37.068+09:00, 0.112E-01,  68.46739, 0.11345E+04
    6900,2025-07-14T15:38:41.192+09:00, 0.101E-01,  69.54522, 0.11508E+04
    7000,2025-07-14T15:38:45.303+09:00, 0.105E-01,  70.60399, 0.11671E+04
    7100,2025-07-14T15:38:49.417+09:00, 0.116E-01,  71.74734, 0.11835E+04
    7200,2025-07-14T15:38:53.641+09:00, 0.111E-01,  72.94574, 0.12004E+04
    7300,2025-07-14T15:38:57.895+09:00, 0.127E-01,  74.04448, 0.12172E+04
    7400,2025-07-14T15:39:02.266+09:00, 0.102E-01,  75.12513, 0.12345E+04
    7500,2025-07-14T15:39:06.756+09:00, 0.105E-01,  76.23109, 0.12523E+04
    7600,2025-07-14T15:39:11.016+09:00, 0.117E-01,  77.29894, 0.12693E+04
    7700,2025-07-14T15:39:15.251+09:00, 0.114E-01,  78.41110, 0.12860E+04
    7800,2025-07-14T15:39:19.497+09:00, 0.109E-01,  79.49825, 0.13027E+04
    7900,2025-07-14T15:39:23.746+09:00, 0.102E-01,  80.58281, 0.13197E+04
    8000,2025-07-14T15:39:28.047+09:00, 0.924E-02,  81.73818, 0.13368E+04
    8100,2025-07-14T15:39:32.202+09:00, 0.109E-01,  82.75108, 0.13533E+04
    8200,2025-07-14T15:39:36.433+09:00, 0.111E-01,  83.81934, 0.13700E+04
    8300,2025-07-14T15:39:40.745+09:00, 0.133E-01,  84.93659, 0.13871E+04
    8400,2025-07-14T15:39:44.940+09:00, 0.111E-01,  86.09019, 0.14037E+04
    8500,2025-07-14T15:39:49.161+09:00, 0.128E-01,  87.28760, 0.14204E+04
    8600,2025-07-14T15:39:53.423+09:00, 0.122E-01,  88.49857, 0.14372E+04
    8700,2025-07-14T15:39:57.620+09:00, 0.118E-01,  89.60845, 0.14537E+04
    8800,2025-07-14T15:40:01.904+09:00, 0.130E-01,  90.69853, 0.14706E+04
    8900,2025-07-14T15:40:06.137+09:00, 0.114E-01,  91.84548, 0.14871E+04
    9000,2025-07-14T15:40:10.645+09:00, 0.109E-01,  92.99182, 0.15047E+04
    9100,2025-07-14T15:40:15.356+09:00, 0.974E-02,  94.11712, 0.15228E+04
    9200,2025-07-14T15:40:20.000+09:00, 0.136E-01,  95.20747, 0.15409E+04
    9300,2025-07-14T15:40:24.425+09:00, 0.121E-01,  96.35189, 0.15581E+04
    9400,2025-07-14T15:40:28.744+09:00, 0.117E-01,  97.47158, 0.15752E+04
    9500,2025-07-14T15:40:32.941+09:00, 0.124E-01,  98.52837, 0.15919E+04
    9600,2025-07-14T15:40:37.246+09:00, 0.101E-01,  99.63633, 0.16088E+04
    9700,2025-07-14T15:40:41.459+09:00, 0.101E-01, 100.74044, 0.16255E+04
    9800,2025-07-14T15:40:45.666+09:00, 0.109E-01, 101.90648, 0.16423E+04
    9900,2025-07-14T15:40:49.812+09:00, 0.117E-01, 103.08000, 0.16588E+04
   10000,2025-07-14T15:40:54.003+09:00, 0.111E-01, 104.20741, 0.16755E+04
   10100,2025-07-14T15:40:58.216+09:00, 0.100E-01, 105.34137, 0.16923E+04
   10200,2025-07-14T15:41:02.586+09:00, 0.971E-02, 106.44653, 0.17097E+04
   10300,2025-07-14T15:41:06.883+09:00, 0.110E-01, 107.51912, 0.17267E+04
   10400,2025-07-14T15:41:11.156+09:00, 0.118E-01, 108.69196, 0.17436E+04
   10500,2025-07-14T15:41:15.469+09:00, 0.120E-01, 109.81062, 0.17608E+04
   10600,2025-07-14T15:41:19.837+09:00, 0.126E-01, 110.96991, 0.17780E+04
   10700,2025-07-14T15:41:24.131+09:00, 0.128E-01, 112.12384, 0.17952E+04
   10800,2025-07-14T15:41:28.384+09:00, 0.118E-01, 113.28106, 0.18119E+04
   10900,2025-07-14T15:41:32.746+09:00, 0.132E-01, 114.43819, 0.18292E+04
   11000,2025-07-14T15:41:37.037+09:00, 0.124E-01, 115.65616, 0.18462E+04
   11100,2025-07-14T15:41:41.348+09:00, 0.119E-01, 116.85190, 0.18633E+04
   11200,2025-07-14T15:41:45.644+09:00, 0.112E-01, 118.05189, 0.18803E+04
   11300,2025-07-14T15:41:50.040+09:00, 0.127E-01, 119.26504, 0.18975E+04
   11400,2025-07-14T15:41:54.392+09:00, 0.937E-02, 120.33153, 0.19148E+04
   11500,2025-07-14T15:41:58.700+09:00, 0.119E-01, 121.44848, 0.19321E+04
   11600,2025-07-14T15:42:02.974+09:00, 0.143E-01, 122.73878, 0.19491E+04
   11700,2025-07-14T15:42:07.328+09:00, 0.152E-01, 124.05393, 0.19664E+04
   11800,2025-07-14T15:42:11.624+09:00, 0.114E-01, 125.31861, 0.19835E+04
   11900,2025-07-14T15:42:15.969+09:00, 0.123E-01, 126.57258, 0.20008E+04
   12000,2025-07-14T15:42:20.408+09:00, 0.123E-01, 127.71183, 0.20184E+04
   12100,2025-07-14T15:42:24.922+09:00, 0.115E-01, 128.97144, 0.20364E+04
   12200,2025-07-14T15:42:29.577+09:00, 0.109E-01, 130.18840, 0.20549E+04
   12300,2025-07-14T15:42:34.424+09:00, 0.104E-01, 131.29292, 0.20741E+04
   12400,2025-07-14T15:42:39.261+09:00, 0.125E-01, 132.50637, 0.20933E+04
   12500,2025-07-14T15:42:44.201+09:00, 0.142E-01, 133.82073, 0.21130E+04
   12600,2025-07-14T15:42:49.336+09:00, 0.321E-01, 135.97949, 0.21334E+04
   12700,2025-07-14T15:42:54.408+09:00, 0.326E-01, 139.62868, 0.21536E+04
   12800,2025-07-14T15:42:59.473+09:00, 0.463E-01, 143.98601, 0.21736E+04
   12900,2025-07-14T15:43:04.658+09:00, 0.437E-01, 148.80077, 0.21943E+04
   13000,2025-07-14T15:43:10.001+09:00, 0.556E-01, 153.56574, 0.22154E+04
   13100,2025-07-14T15:43:15.189+09:00, 0.605E-01, 158.98275, 0.22360E+04
   13200,2025-07-14T15:43:20.363+09:00, 0.595E-01, 164.66230, 0.22566E+04
   13300,2025-07-14T15:43:25.533+09:00, 0.577E-01, 170.54768, 0.22772E+04
   13400,2025-07-14T15:43:30.841+09:00, 0.555E-01, 176.75112, 0.22980E+04
   13453,2025-07-14T15:43:33.607+09:00, 0.729E-03, 180.00000, 0.23089E+04
